3.349207001346855398e-08,-2.765322705459125545e-17,5.523299772236645456e-10,4.337669978196363661e-08,4.337669978196547626e-08,4.337669978196434467e-08,4.337669978196479466e-08,8.361061036082748339e-22,-5.429240823235945690e-07,2.325599904099740342e-08,5.196680832825978538e-07,-1.214974105350644371e-21,0.000000000000000000e+00
-3.984619742223107815e-07,-2.772885612860358632e-13,-4.363461418515020953e-07,1.330857155182814895e-05,1.330857044755930347e-05,1.330857113009604849e-05,1.330857086929172581e-05,-4.611746243348736691e-13,6.459278075376911363e-06,-1.837246937418869261e-05,1.191319129881178379e-05,4.871905718204197051e-13,0.000000000000000000e+00
1.334810635260047003e-06,-3.001633601154217921e-12,6.115121583721865359e-07,2.963023789729688274e-05,2.962882481052870947e-05,2.962981285766771184e-05,2.962924985015826662e-05,2.573278378502862778e-11,-2.163798317307533175e-05,2.574788010906723848e-05,-4.109896935991915208e-06,4.871933422781102325e-13,0.000000000000000000e+00
4.693421103535669386e-06,-1.323089267954077557e-11,2.641964009826231577e-06,6.125831916044373532e-05,6.125016880467978636e-05,6.125586805817301317e-05,6.125261990695087444e-05,1.507171662940754028e-10,-7.608282655354394624e-05,1.112405896450988595e-04,-3.515776309155496746e-05,4.871945565460263246e-13,0.000000000000000000e+00
1.020286149654585202e-05,-4.075635521643872781e-11,5.972666481124333709e-06,1.131446101517443413e-04,1.131126886628815869e-04,1.131350104845657372e-04,1.131222883300603537e-04,5.917000645536019672e-10,-1.653937550297099302e-04,2.514806937047211598e-04,-8.608693867501128385e-05,4.871964568248592824e-13,0.000000000000000000e+00
1.838039034459127552e-05,-1.013958733221577897e-10,1.091625383320951246e-05,1.901670639271246452e-04,1.900688860579965024e-04,1.901375393353364274e-04,1.900984106497847744e-04,1.820835025616516484e-09,-2.979558016190771911e-04,4.596317401245476452e-04,-1.616759385054706167e-04,4.871950831258087156e-13,0.000000000000000000e+00
2.973503239936479275e-05,-2.183042038461603376e-10,1.778030730660718273e-05,2.971316295907663061e-04,2.968776044025254481e-04,2.970552378735557674e-04,2.969539961197360410e-04,4.711988867035989883e-09,-4.820205254543529850e-04,7.486445179952902398e-04,-2.666239925409375259e-04,4.871946218769881914e-13,0.000000000000000000e+00
4.476756922778072896e-05,-4.232053463049983651e-10,2.686731293842393867e-05,4.387743709320389473e-04,4.381966062800392650e-04,4.386006227884327313e-04,4.383703544236452641e-04,1.071774244371955034e-08,-7.257058593044636227e-04,1.131255281541078059e-03,-4.055494222366143276e-04,4.871943057069276843e-13,0.000000000000000000e+00
6.397052053802038802e-05,-7.575467846813106611e-10,3.847460738290819460e-05,6.197638273123818589e-04,6.185738526253870429e-04,6.194059725401966600e-04,6.189317073975724587e-04,2.207496953499201235e-08,-1.036995806859925852e-03,1.619983468887515590e-03,-5.829876620275898464e-04,4.871906819790365786e-13,0.000000000000000000e+00
8.782811644334135161e-05,-1.273576031260976001e-09,5.289431216284312654e-05,8.447036044977486577e-04,8.424375548237461077e-04,8.440221474867369523e-04,8.431190118347574878e-04,4.203744530530611795e-08,-1.423739993114603395e-03,2.227128933709001703e-03,-8.033889405943988498e-04,4.871921580374828785e-13,0.000000000000000000e+00
1.168162608054767033e-04,-2.035338565340569534e-09,7.041325674311392935e-05,1.118135187724495589e-03,1.114085069420292767e-03,1.116917217357143825e-03,1.115303039787643663e-03,7.513404845543379184e-08,-1.893653070142902904e-03,2.964768706233032996e-03,-1.071115636090130092e-03,4.871928758990376982e-13,0.000000000000000000e+00
