7.793333446125689790e-01,1.426560118434406554e+00,-7.793333446125689790e-01,-1.046855551712190802e-01,-4.389245421409134762e-01,-4.132852238046854643e-01
7.730660094539937299e-01,1.404164700551678191e+00,-7.557814696823335066e-01,-9.261020522676832734e-02,-4.307492842607889560e-01,-4.107564657174404554e-01
7.472774478122093944e-01,1.376454737324673383e+00,-7.510957783047271796e-01,-6.231025764421590507e-01,-2.006071301013368779e-01,-2.099264342028086816e-01
7.329036260075147968e-01,1.348915618563288676e+00,-7.355128348385183701e-01,-6.046397608861748818e-01,-2.016382750211106467e-01,-1.988304232513996850e-01
7.184130027376336436e-01,1.321930373584848883e+00,-7.206512604365261643e-01,-5.878219226590470914e-01,-2.015488971733740975e-01,-1.892314596285122330e-01
7.041287644946684354e-01,1.295484061226656269e+00,-7.061745536861347983e-01,-5.717424670860757896e-01,-2.011161831885527607e-01,-1.801297507776449813e-01
6.901002684316361879e-01,1.269565578045475762e+00,-6.920209870668462271e-01,-5.562363493333829512e-01,-2.004800628147812847e-01,-1.713571030965242159e-01
6.763387873424758778e-01,1.244164402344807741e+00,-6.781672743001597725e-01,-5.412415667378618345e-01,-1.996930713792918477e-01,-1.628607564353787562e-01
6.628455824994985424e-01,1.219270287909981487e+00,-6.646004329465431404e-01,-5.267239668054196633e-01,-1.987834291267350784e-01,-1.546186182274655041e-01
6.496184012855655832e-01,1.194873203942904416e+00,-6.513112672748668786e-01,-5.126599192182363929e-01,-1.977698584764734924e-01,-1.466194868279798169e-01
6.366535450396550999e-01,1.170963317026613382e+00,-6.382922890407505268e-01,-4.990307434677239140e-01,-1.966664883204667646e-01,-1.388566510737285487e-01
6.239466690860706599e-01,1.147530983318650444e+00,-6.255369084286346304e-01,-4.858204709299179802e-01,-1.954848693398247017e-01,-1.313253613931209540e-01
6.114931363799146480e-01,1.124566743841374450e+00,-6.130390724029377569e-01,-4.730147828742515270e-01,-1.942349386163096381e-01,-1.240216980612837139e-01
5.992881895957731242e-01,1.102061320857366633e+00,-6.007930852399899768e-01,-4.606004408929096350e-01,-1.929255376285920476e-01,-1.169420313757899149e-01
5.873270410274804565e-01,1.080005614665758840e+00,-5.887935117151296138e-01,-4.485649573537698886e-01,-1.915647182237131541e-01,-1.100827640835465165e-01
